timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/21 01:58:09.563, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:10.563, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:11.564, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:12.564, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:13.564, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:14.564, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:15.564, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:16.564, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:17.564, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:18.565, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:19.565, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:20.565, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:21.565, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:22.565, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:23.565, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:24.566, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:25.566, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:26.566, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:27.566, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:28.566, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:29.566, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:30.567, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:31.567, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:32.567, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:33.567, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:34.567, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:35.567, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:36.568, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:37.568, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:38.568, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:39.568, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:40.568, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:41.568, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:42.569, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:43.569, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:44.569, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:45.569, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:46.569, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:47.569, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:48.570, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:49.570, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:50.570, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:51.570, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:52.570, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:53.570, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:54.571, 0, 0 %, 0 %, 1 MiB, 46068 MiB
